Youtuber,Id,Uploads,Subscribers,Video Views,Country,Account Created
5 Minutes Engineering,@5MinutesEngineering,1500,434K,62471281,India,"Aug 11th, 2018"
Joma Tech,@jomaoppa,107,2.06M,164892515,United States,"Aug 31, 2016"
The Coding Train,@thecodingtrain,1210,1.54M,110960063,United States,"Jul 3, 2006"
Tech With Tim,@techwithtim,795,1.16M,1047918385,Canada,"Apr 23, 2014"
3Blue1Brown,@3blue1brown,127,4.91M,316927667,United States,"Mar 3, 2015"
Corey Schafer,@coreyms,231,1.04M,81466465,United States,"May 31, 2006"
Guy in a Cube,@guyinacube,862,314K,24564611,United States,"Dec 3rd, 2014"
Tina Huang,@tinahuang1,115,435K,17898210,United States,"Aug 28th, 2013"
Alex The Analyst,@alextheanalyst,186,345K,13592140,United States,"Jan 8th, 2020"
Luke Barousse,@lukebarousse,103,295K,13333599,United States,"Aug 3rd, 2020"
365 Data Science,@365datascience,215,275K,11812058,Bulgaria,"Aug 7th, 2017"
Data School,@dataschool,139,210K,10646067,United States,"Apr 30th, 2014"
deeplizard,@deeplizard,326,129K,10565467,United States,"Aug 22nd, 2017"
Ken Jee,@KenJee_ds,245,232K,7383381,United States,"Feb 28th, 2014"
Data Science Dojo,@datasciencedojo,378,91.7K,5179939,United States,"Aug 6th, 2014"
Data Science Tutorials,@rvideotutorials,947,46.7K,5115039,India,"Nov 1st, 2015"
Data Professor,@dataprofessor,309,147K,4090230,Thailand,"Aug 17th, 2019"
Thu Vu data analytics,@thuvu5,55,112K,2835877,United States,"Apr 30th, 2021"
DATAtab,@datatab,166,42.6K,3115147,Austria,"May 16th, 2020"
The Semicolon,@thesemicolon,46,24.4K,2326287,United States,"Jun 5th, 2016"
Abhishek Thakur,@abhishekkrthakur,150,78.1K,2148261,India,"May 24th, 2009"
MyStudy,@mystudyisfun,317,11.6K,1689539,India,"Jun 20th, 2016"
Andreas Kretz,@andreaskayy,232,33.9K,951756,Germany,"Apr 18th, 2017"
Arpan Gupta Data Scientist- IITian,@arpanguptadatascientistii,137,6.15K,469964,India,"Dec 23rd, 2016"
The Data Incubator,@thedataincubatorvideos,141,7.56K,252144,United States,"Feb 5th, 2015"
